GeographyKey,GeographyType,ContinentName,CityName,StateProvinceName,RegionCountryName
914,City,North America,Provincetown,Massachusetts,United States
915,City,North America,Queen Anne's County,Maryland,United States
916,City,North America,Queens,New York,United States
917,City,North America,Quincy,Massachusetts,United States
918,City,North America,Racine,Wisconsin,United States
919,City,North America,Richardson,Texas,United States
920,City,North America,Ridgely,Maryland,United States
921,City,North America,Roanoke,Virginia,United States
922,City,North America,Rochester,New York,United States
923,City,North America,Round Rock,Texas,United States
924,City,North America,Russellville,Texas,United States
925,City,North America,San Antonio,Texas,United States
926,City,North America,Sebring,Florida,United States
927,City,North America,Sedalia,Colorado,United States
928,City,North America,Sheboygan,Wisconsin,United States
929,City,North America,Shreveport,Texas,United States
930,City,North America,Snoqualmie,Washington,United States
931,City,North America,Somerville,Massachusetts,United States
932,City,North America,South Portland,Maine,United States
933,City,North America,Spring,Texas,United States
934,City,North America,Stoughton,Wisconsin,United States
935,City,North America,Sunnyside,Washington,United States
936,City,North America,Syracuse,New York,United States
937,City,North America,Tallahassee,Florida,United States
938,City,North America,Tampa,Florida,United States
939,City,North America,Texas City,Texas,United States
940,City,North America,Thornton,Colorado,United States
941,City,North America,Toppenish,Washington,United States
942,City,North America,Toronto,Ontario,Canada
943,City,North America,Trenton,New Jersey,United States
944,City,North America,Veradale,Washington,United States
945,City,North America,Vineland,New Jersey,United States
946,City,North America,Virginia Beach,Virginia,United States
947,City,North America,Wapato,Washington,United States
948,City,North America,Waterbury,Connecticut,United States
949,City,North America,Waukesha,Wisconsin,United States
950,City,North America,Wheat Ridge,Colorado,United States
951,City,North America,Winchester,Virginia,United States
952,City,North America,Worcester,Massachusetts,United States
